#,,Whisky,Stated Age,Strength,Size,Rating,Votes,
"18","","Bowmore 1957","38","40","700 ml","95","32",""
"36","","Bowmore 1964?Black Bowmore - The Last Cask","50","40","700 ml","94.73","17",""
"45","","Bowmore 1955?Ceramic decanter - commemorate opening Visitor Centre","","40","375 ml","94.69","16",""
"102","","Mortlach 1936 GM?Celtic Series - Book of Kells","50","40","750 ml","94.28","20",""
"117","","Macallan Private Eye","","40","700 ml","94.17","38",""
"122","","Mortlach 1938 GM?Celtic Series - Book of Kells","50","40","700 ml","94.14","26",""
"130","","Dalmore 40-year-old?Rare & Prestige","40","40","750 ml","94.11","37",""
"132","","Bowmore 1964 Black","42","40","700 ml","94.09","95",""
"134","","Mortlach 1938 GM?Crystal Decanter","60","40","700 ml","94.08","17",""
"136","","Dalmore 40-year-old","40","40","700 ml","94.08","39",""
"140","","Bowmore 1966 HB?Finest Collection","36","40","700 ml","94.07","58",""
"151","","Mortlach 1939 GM?Celtic Series - Book of Kells","50","40","750 ml","94","25",""
"169","","MacPhail's 1937 GM","50","40","50 ml","93.94","19",""
"173","","Mortlach 1936 GM?Rare Old Highland Malt","","40","750 ml","93.94","18",""
"199","","Mortlach 1936 GM?Celtic Series - Book of Kells","50","40","750 ml","93.86","45",""
"219","","Ardbeg 1972 GM?Connoisseurs Choice","14","40","750 ml","93.8","18",""
"235","","MacPhail's 1937 GM?Celtic Series - Book of Kells","50","40","750 ml","93.75","38",""
"246","","Mortlach 1936 GM?Licensed Bottling","","40","750 ml","93.71","19",""
"252","","Macallan 1969 DT?Peerless","41","40","700 ml","93.69","25",""
"265","","Pride of Strathspey 1937 GM?Celtic Series - Book of Kells","50","40","750 ml","93.67","41",""
"281","","Bowmore 1968 DT?Rare Auld","37","40","700 ml","93.63","32",""
"285","","Port Ellen 12-year-old?Visit from H.M. The Queen to Port Ellen Maltings","12","40","750 ml","93.62","17",""
"293","","Glenglassaugh 1967?Rare Cask Series - Aged Over 40 Years Old","43","40","700 ml","93.6","19",""
"308","","Bowmore 1965 It","20","40","750 ml","93.58","17",""
"315","","MacPhail's 1938 GM?Celtic Series - Book of Kells","45","40","750 ml","93.56","19",""
"324","","Macallan 1968 MM?Celtic Heartlands","34","40","700 ml","93.56","20",""
"328","","Highland Park 40-year-old?Ceramic black bottle","40","40","750 ml","93.55","23",""
"348","","Macallan 1950 GM?Speymalt","","40","700 ml","93.5","22",""
"354","","Glen Grant 1960 GM?Licensed Bottling","","40","700 ml","93.48","28",""
"358","","Glen Grant 1948 GM?Celtic Series - Book of Kells","50","40","700 ml","93.47","34",""
"392","","Mortlach 1949 GM?Rare Old","","40","700 ml","93.4","32",""
"414","","MacPhail's 1940 GM?Celtic Series - Book of Kells","42","40","750 ml","93.36","16",""
"425","","Mortlach 1959 GM","","40","700 ml","93.35","23",""
"441","","Macallan 1979?Gran Reserva","18","40","700 ml","93.33","204",""
"443","","Ardbeg 1975?Single Cask","","40","700 ml","93.32","33",""
"454","","Ben Nevis 1966","50","40","700 ml","93.31","28",""
"466","","Bowmore 1968 MM?Celtic Heartlands","35","40","700 ml","93.29","53",""
"469","","Glen Grant 1958 GM?Licensed Bottling","","40","700 ml","93.28","41",""
"473","","Glenlivet 1955 GM?George & J.G. Smith's","","40","700 ml","93.28","24",""
"478","","Bowmore 1966 JW?Old Train Line","36","40","700 ml","93.27","49",""
"485","","Mortlach 1954 GM?Rare Old","","40","700 ml","93.26","38",""
"490","","Macallan 1937","","40","750 ml","93.25","16",""
"513","","Glen Grant 1951 GM?Licensed Bottling","","40","700 ml","93.22","39",""
"518","","Port Ellen 1970 GM?Celtic Label","","40","750 ml","93.22","15",""
"524","","Macallan 1946 GM?A Pure Highland Malt","33","40","750 ml","93.21","16",""
"531","","Glen Grant 1950 GM?Licensed Bottling","","40","700 ml","93.2","23",""
"532","","Mortlach 1936 GM?Connoisseurs Choice","43","40","750 ml","93.2","17",""
"549","","Pride of Strathspey 1938 JG?Old Highland - All Malt","","40","750 ml","93.17","37",""
"561","","Macallan 1968 DT?Peerless","35","40","700 ml","93.15","15",""
"568","","Macallan 1968 DT?Rare Auld","35","40","750 ml","93.14","23",""
"588","","Glenglassaugh 1967 - The Manager's Legacy?Release No. 4 - Walter Grant","","40","700 ml","93.11","97",""
"601","","Glen Grant 1956 GM?Licensed Bottling","","40","700 ml","93.09","46",""
"602","","Linkwood 1946 GM?A Pure Highland Malt","36","40","750 ml","93.09","24",""
"603","","Glen Grant 1954 GM?Licensed Bottling","","40","700 ml","93.09","36",""
"620","","Macallan 1966 GM?Speymalt","","40","700 ml","93.07","43",""
"621","","Macallan 1940 GM?Speymalt","","40","700 ml","93.07","46",""
"623","","Glenlivet 1955 GM?Rare Vintage","50","40","700 ml","93.07","18",""
"625","","Macallan 1968 DT?Rare Auld","35","40","700 ml","93.07","19",""
"627","","Macallan 1966 GM?Speymalt","","40","700 ml","93.07","32",""
"648","","Mortlach 1938 GM?A Pure Highland Malt","","40","750 ml","93.04","26",""
"658","","Mortlach 1938 GM?Rare Old Highland Malt","","40","750 ml","93.03","41",""
"686","","Glen Grant 1950 GM?Licensed Bottling","","40","700 ml","93","30",""
"687","","Glen Grant 1952 GM?Rare Vintage","","40","700 ml","93","33",""
"688","","Springbank 1969 DL?Old Malt Cask","34","40","700 ml","93","24",""
"696","","Glen Grant 1949 GM?Licensed Bottling","38","40","750 ml","93","20",""
"710","","Glen Grant 1956 GM?Licensed Bottling","51","40","700 ml","92.97","60",""
"716","","Glenglassaugh 1973?Rare Cask Release - Batch 2","42","40","700 ml","92.96","31",""
"735","","Glen Grant 1956 GM?Licensed Bottling","","40","700 ml","92.93","47",""
"738","","Bowmore 1968 HB?Finest Collection","34","40","700 ml","92.93","46",""
"748","","Macallan 1973 GM?Speymalt","","40","700 ml","92.91","37",""
"752","","Glen Grant 1961 GM?Licensed Bottling","","40","700 ml","92.9","33",""
"758","","Macallan 1950 GM?Macallan-Glenlivet - A Pure Highland Malt","33","40","750 ml","92.89","23",""
"760","","Macallan 1946?Select Reserve","52","40","700 ml","92.89","37",""
"786","","MacPhail's 1938 GM?Celtic Series - Book of Kells","45","40","750 ml","92.86","23",""
"815","","Glen Grant 1948 GM?Licensed Bottling","","40","700 ml","92.83","20",""
