#,,Whisky,Stated Age,Strength,Size,Rating,Votes,
"714","","Lagavulin 1985?Diageo Special Releases 2007","21","56","700 ml","92.96","545",""
"877","","Talisker 1981?Diageo Special Releases 2002","20","62","700 ml","92.77","478",""
"511","","Brora 3rd Release?Diageo Special Releases 2004","30","56","700 ml","93.23","378",""
"861","","Brora 6th Release?Diageo Special Releases 2007","30","55","700 ml","92.79","348",""
"892","","Brora 5th Release?Diageo Special Releases 2006","30","55","700 ml","92.75","317",""
"803","","Bowmore 30-year-old Sea Dragon","30","43","700 ml","92.85","310",""
"876","","Brora 2nd Release?Diageo Special Releases 2003","30","55","700 ml","92.77","302",""
"977","","Brora 10th Release?Diageo Special Releases 2011","32","54","700 ml","92.66","300",""
"99","","Glenglassaugh 1972?Rare Cask Release - Batch 1","41","50","700 ml","94.28","290",""
"399","","Highland Park 40-year-old","40","48","700 ml","93.39","286",""
"764","","Brora 4th Release?Diageo Special Releases 2005","30","56","700 ml","92.88","284",""
"718","","Glenglassaugh 1972?The Master Distillers' Selection","39","57","700 ml","92.96","269",""
"387","","Glengoyne 1972 MoS?Diamonds","","55","700 ml","93.42","268",""
"723","","Lagavulin 37-year-old?Diageo Special Releases 2013","37","51","700 ml","92.95","225",""
"763","","Bunnahabhain 1968?Auld Acquaintance","","43","700 ml","92.88","220",""
"979","","Macallan 10-year-old?Full Proof","10","57","750 ml","92.66","210",""
"240","","Glenglassaugh 1972?for Andrea Caminneci","38","59","700 ml","93.74","205",""
"441","","Macallan 1979?Gran Reserva","18","40","700 ml","93.33","204",""
"952","","Linlithgow 1973?Diageo Special Releases 2004","30","59","700 ml","92.69","185",""
"287","","Ardbeg 1974 Provenance?1st Release","","55","700 ml","93.62","180",""
"463","","Port Ellen 1982 MoS?Diamonds","","56","700 ml","93.29","168",""
"650","","Laphroaig Cairdeas - 30-year-old","30","43","700 ml","93.04","162",""
"253","","Bowmore 1968?Anniversary Edition","32","45","700 ml","93.69","158",""
"682","","Longmorn 1972 TWA?The Perfect Dram 4","37","51","700 ml","93","156",""
"206","","Springbank 100¡Æ Proof?Green Thistle","12","50","700 ml","93.84","156",""
"649","","Glenglassaugh 1968 - The Manager's Legacy?Release No. 3 - Bert Forsyth","","44","700 ml","93.04","155",""
"799","","Bunnahabhain 1968 MoS?Warehouse Diamonds","","42","700 ml","92.85","154",""
"384","","Bowmore 1964 Bicentenary","","43","750 ml","93.42","152",""
"147","","Ardbeg 1976","","52","700 ml","94.03","150",""
"269","","Rechlerich 1964 NCS","40","53","700 ml","93.67","149",""
"640","","Glendronach 1971?Single Cask - Batch 1","38","49","700 ml","93.05","146",""
"216","","Glendronach 1972?Single Cask - Batch 1","37","54","700 ml","93.81","146",""
"168","","Glendronach 1972?Single Cask - Batch 9","41","51","700 ml","93.94","144",""
"318","","Glendronach 1972?Single Cask - Batch 4","39","49","700 ml","93.56","139",""
"361","","Laphroaig 40-year-old","40","42","700 ml","93.46","138",""
"295","","Springbank 100¡Æ Proof?Green Thistle","12","57","700 ml","93.6","138",""
